Día,Zn,Fe,Cu,Pb,Ins.,Flujo de aire al Tostador,Humedad conc,Conc. humedo alimentado (ton/hr),Agua alim. al Tostador (Lts/hr),Oxigeno consumido (m3),Concentrado Tostado,Temp. Garganta,Prom. Cama Tostador,Presion caja de viento,Produccion de calcina,%S/S
01/01/2017,51.9,8.15,1,0.68,2,42373.6237,10.45833333,28.23429688,5625,25786.8,586,900.82,890.6,1816.54,532.08,0.48
02/01/2017,50.82,8.17,1,0.68,2.02,40750.37,10.67,28.27,6750,25485.2,593,885.2,889.42,1782.77,530.74,0.48
03/01/2017,52.44,8.43,1.03,0.83,2.24,40492.24,10.59,28.27,6875,25560.6,585,879.12,889.6,1763.82,531.76,0.48
04/01/2017,52.1,8.32,1.04,0.9,2.28,42140.85,10.4,28.27,6750,25636,588,887.1,890.85,1730.66,533.28,0.48
05/01/2017,52.82,8.24,1.09,0.79,2.28,41310.63,10.26,26.53,4916.67,25560.6,535,900.85,888.48,1699.56,486.64,0.45
06/01/2017,53.32,8.48,1.05,0.8,2.42,41163.48,10.33,26.27,4666.67,25937.6,528,904.36,888.54,1693.96,481.6,0.22
07/01/2017,50.63,9.43,1.07,0.9,2.6,41911.34,10.34,27.58,4375,25485.2,556,920.52,888.53,1714.79,506.24,0.52
08/01/2017,52.9,8.38,1.04,0.8,2.34,42132.87,10.23,28.24,5299.03,25485.2,567,918.61,887.07,1692.07,519.1,0.42
09/01/2017,51.62,9.55,1.04,1.03,2.92,42150.1,10.11,28.53,5333.33,25937.6,578,919.45,887.98,1689.66,525.95,0.5
10/01/2017,50.61,9.6,1.06,0.85,2.94,41906.51,10.15,28.95,5728.86,25711.4,557,924.22,886.74,1647.13,507.57,0.34
11/01/2017,0,0,0,0,0,42396.44,10.05,29.06,5501.22,32271.2,240,880.41,855.09,1697.76,225.08,0.31
12/01/2017,51.26,9.8,1.05,0.82,2.54,42375.87,10.2,29.28,6333.33,25485.2,589,896.52,892.35,1637.05,539.96,0.35
13/01/2017,51.84,8.93,1.04,1,2.58,42155.5,10.22,29.81,7916.67,25711.4,609,879.11,892.7,1598.41,548.97,0.39
14/01/2017,51.63,8.35,1.04,0.92,2.7,42242.58,10.16,29.56,7969.4,25786.8,604,875.17,896.19,1600.92,543.35,0.42
15/01/2017,51.98,8.2,1.06,0.87,2.34,42332.97,10.03,29.47,9416.67,25334.4,598,863.82,891.49,1529.57,543.64,0.35
16/01/2017,53.27,8.18,1.07,0.99,2.46,42161.19,9.98,29.2,9089.65,25862.2,597,849.05,891.26,1567.93,538.72,0.48
