Día,Zn,Fe,Cu,Pb,Ins.,Concentrado Tostado,Acido producido,Días Tostador,Flujo de aire al Tostador,Humedad conc,Temp. Garganta,Prom. Cama Tostador,Presion caja de viento,Temp. Ent. a CA-301,Agua alim. al Tostador (Lts/hr),Agua desmin. producida,Vapor producido,Agua alim. a caldera,Oxigeno consumido,Presión tanque alim.,Desv. Std. Temps Tostador,Temp´s    Máx - Mín.,TI-B-1201,TI-B-1202,TI-B-1203,TI-B-1204,TI-B-1205,TI-B-1206,TI-B-1207,TI-B-1208,TI-B-1201-A,TI-B-1208-A,Oxido Blanco,Dross,Conc. humedo alimentado (ton/hr),Produccion de calcina,Consumo calcina Lixiviación,Conc. S. Eulalia + Velardeña (%),Ajuste al concentrado alimentado,Existencia de sosa,Flujo al Parshall (m3),Parshall Lectura máxima,Vibración QI-C5001,Vibración CA-301 (mecánicos),"Energia
CA-301",Vibración QI-C5001 (Max),Nivel tanque de Oxígeno,Nivel tanque de Diesel,Lectura Diesel a Tostador (Máx),No. de Regeneración,No. de Presurización,Hrs Totales Limp. Caldera,Horas Operadas C. Auxiliar,Deshecho Primer   turno,Deshecho Segundo turno,Deshecho Tercer turno,Voltaje electrofiltos CA-710,Voltaje electrofiltos CA-711,Calcina enviada a Rec. Mat.,Temp. entrada Alfa Laval,Temp. salida Alfa laval (Min),Temp. salida Alfa laval (Max),Preión salida Alfa laval (Min),Sílice en Domo (Max),Abertura purga superficie (Max),Temp Despues Supercal TI-B1211,Temp. sal. CA-001 TI-B1216,Temp. sal. CA-002 TI-B1215,Campos a tierra Elec. secos,pH agua del domo (Máximo),pH agua del domo (Mínimo),pH del Colector,Conductividad Colector,pH Torre enfto QI-XC3301,ΔP Ventilación BC-408,ΔP Ventilación BC-418,ΔP Ventilación BC-025,Presión Cañon No. 1 (1er Turno),Presión Cañon No. 2 (1er Turno),Presión Cañon No. 3 (1er Turno),Presión Cañon No. 4 (1er Turno),Presión Cañon No. 5 (1er Turno),Presión Cañon No. 6 (1er Turno),Presión Cañon No. 7 (1er Turno),Presión Cañon No. 8 (1er Turno),Presión Cañon No. 9 (1er Turno),Presión Cañon No. 10 (1er Turno),Barridos por día  Cañon No. 1,Barridos por día  Cañon No. 2,Barridos por día  Cañon No. 3,Barridos por día  Cañon No. 4,Barridos por día  Cañon No. 5,Barridos por día  Cañon No. 6,Barridos por día  Cañon No. 7,Barridos por día  Cañon No. 8,Barridos por día  Cañon No. 9,Barridos por día  Cañon No. 10,Corrida mínima de trenes Pta agua,Prod. Env. a Tq. 12,Prod. Env. a Tq. 25,Prod. Env. Total,Acido embarcado del Tq. 12,Acido embarcado del Tq. 25,Acido embarcado Total,Carros FFCC Emb.,Total de Lotes Emb.,Transferencias,Temp. T. Secado,DT Cama 1,DT Cama 2,DT Cama 3,DT Cama 4,DT Conv. Total,Conver 1,Conver 2,Vibración Sop. SO2,DA-105,DA-106,DA-107,DA-108,Agua a T. Lavado,DP enf. Sencillos,Flujo de SO2,Presión descarga SO2,% SO2 convertidor,SO2 Estimado,Temp. Ent. Cama 1,SO2 a Chimenea,Conversión de gases,Consumo de cal,Agua cadmio,Rel. Acido / Concentrado,Nivel silo,Llegadas cal,No. pipa cal,KV 1a Etapa,KV 2a Etapa,DP enf. Dobles,DP demister Secado,DP demister Intermedia,DP demister Final,Máx DA-105,Máx DA-106,Máx DA-107,Máx DA-108,No. de Lechada,Horas Bombeo Neutra,Nivel más bajo del silo,Temp. Torre Lavado,Nivel Diesel DA-402,Nivel Diesel DA-027,By-Pass Secado,By-Pass Intermedia,By-Pass Final,Abertura 4135,Abertura 4137,Acido FI-D-1355,Ent cama 2,Ent. Cama 3,Ent. Cama 4,PI-B-1102,PI-B-1107,PI-C-1105,Concentrado TPD Tostado a Fecha,Meta: Saldo Ton,Meta: Saldo Días,Unitario por día Tostador,Bono Hoy (Máx. 22.5%),Agua Desmin. TAI *,Agua Desmin. TAF *,Agua Total a Torres *,Temp. Amb. Prom *,Temp. Amb. Mín *,Temp. Amb. Máx *,CIL TS mV Prom. *,CIL TS mV Min. *,CIL TS mV Máx *,CIL TAI mV Prom *,CIL TAI mV Min *,CIL TAI mV Máx *,CIL TAF mV Prom *,CIL TAF mV Min *,CIL TAF mV Máx *,CIL Prod mV Prom *,CIL Prod mV Min *,CIL Prod mV Máx *,CIL TS Amp Prom *,CIL TS Amp. Min *,CIL TS Amp. Máx *,CIL TAI Amp. Prom *,CIL TAI Amp. Min *,CIL TAI Amp. Máx *,CIL TAF Amp. Prom *,CIL TAF Amp. Min *,CIL TAF Amp. Máx *,CIL Prod Amp. Prom *,CIL Prod Amp. Min *,CIL Prod Amp. Máx *,Temp Tost Prom Pond *,Temp Tost Prom Mín Pond *,Temp Tost Prom Máx Pond *,AveDev Tost Prom *,AveDev Tost Min *,AveDev Tost Max *,Temp T Lavado Prom *,Temp T Lavado Max *,Temp T Secado Max *,ppm chimenea max *,CIL TS Volt Cat,CIL TAI Volt Cat,CIL TAF Volt Cat,CIL Prod Volt Cat,CIL TS mV Ref,CIL TAI mV Ref,CIL TAF mV Ref,CIL Prod mV Ref,Presion Bomba Secado Min,Presion Bomba Secado Max,Presion Bomba Interm. Min,Presion Bomba Interm. Max,Presion Bomba Final Min,Presion Bomba Final Max,"Vacío Mín. en mts.
Silo Lixi.",Existencia Calcina Silo Lixi.,Existencia Calcina Total Lixi.,Cantidad de Errores en Reporte,%S/S
42736,51.9,8.15,1,0.68,2,586,523.58,1,42373.62,10.46,900.82,890.6,1816.54,306.35,5625,625,546.16,485.46,25786.8,255,9.8,34.01,897.21,870.22,891.21,881.54,,894.51,900.03,899.46,890.3,839.33,6.4,10,28.23,532.08,437.4,21.27,4.35,49.67,44,3,0.72,0.4,0.1,4.26,54,136,0,,3,3.58,0,2,2,2,53,51.67,0,23,44,49,2.3,2.8,1.75,477.34,313.73,307.26,0,10.81,10.7,7.99,3.04,7.82,124,132,38,8,9,8.8,8.6,7.4,6.6,6.8,7.4,6.4,8.4,56,56,78,84,56,56,56,56,56,56,2100,0,24,24,0,0,0,0,0,40.58,29.66,164.97,47.5,25.69,-3.29,234.87,90.46,9.54,0.66,2.22,1.4,1.28,0.18,0,23,46635.95,3373.93,7.51,8.39,422.04,239.6,99.72,8.97,0,0.89,33.26,0,,34.33,56,114,15,193,311,2.4,1.5,1.4,0.2,2,9.83,2.9,61.4,175,0,20,20,19,36,17,545.97,457.85,421.49,426.7,1.73,-4.54,-244.19,586,,,592.4,7.5,29.64,13.56,43.2,16.91,10.25,22.6,195.97,175,217,297.4,292,318,297.77,285,324,299.08,262,352,2.18,1.5,2.6,1.41,1.2,1.7,1.29,1,1.5,0.2,0.1,0.3,892.02,888.41,895.64,7.48,6.62,8.85,61.17,62.5,32.47,302.19,1.28,1.13,1.14,1.13,-0.77,181.58,306.31,375.27,3.1,3.1,4,4,4,4,10.7,1587.09,2679.79,0,0.48
42737,50.82,8.17,1,0.68,2.02,593,524.6,1,40750.37,10.67,885.2,889.42,1782.77,305.09,6750,724,534.05,478.92,25485.2,250,10.77,38.33,892.03,866.65,891.94,883.24,,893.8,902.06,896.24,884.38,830.99,5.28,3.62,28.27,530.74,541.3,21.27,4.14,53.03,46,3,0.85,0.4,0.1,15.6,62,136,0,1,5,6,0,2,2,2,54.67,52,0,22,44,49,2.3,1.2,0.75,475.82,313.53,305.25,0,10.76,10.68,9,3.29,7.81,127,140,27,9,8.6,9.8,10.4,7.4,7,7,7.4,8,8.2,56,56,84,84,56,56,56,56,56,56,2100,0,24,24,0,416.54,416.54,0,15,61.06,30.11,166.49,49.75,27.66,-2.96,240.94,89.75,10.25,0.69,2.2,1.42,1.23,0.18,0,33,45015.24,3253.39,7.97,8.61,420.07,255.71,99.72,7.47,0,0.88,25.79,0,,33.67,57.33,130,16,190,305,2.4,1.7,1.4,0.2,4,11.5,3.9,62.33,175,0,24,20,18,35,17,542.87,456.98,421.87,425.85,1.06,-9.77,-254.56,589.5,,,595.34,7.5,28.4,13.9,42.3,17.74,9.78,26.49,195.98,178,211,297.47,282,302,297.72,282,304,299.35,291,308,2.18,1.8,2.8,1.41,1.1,1.9,1.19,1,1.4,0.17,0,0.2,890.47,883.61,896.05,8.63,6.9,11.07,62.48,63.85,33.06,304.77,1.29,1.13,1.13,1.13,2.76,175.74,290.86,375.06,3,3.2,3.9,4,4,4.1,10.6,1782.36,2908.67,0,0.48
42738,52.44,8.43,1.03,0.83,2.24,585,544.94,1,40492.24,10.59,879.12,889.6,1763.82,303.24,6875,725,525.37,473.53,25560.6,250,11.62,35.52,896.15,866.97,893.92,877.11,,894.38,899.57,899.07,881.82,824.66,6.96,10,28.27,531.76,429.6,21.27,4.62,53.03,53,4,0.62,0.3,0.1,0.82,75,135,0,1,8,6.33,0,2,2,2,53.33,52,0,22,45,48,2.2,0.8,0.25,471.1,312.4,303.29,0,10.87,10.68,8.78,1.38,7.75,87,126,36,6.6,7,10.4,10,10.4,10.2,9.6,8.4,7.2,7,62,62,93,93,62,62,62,62,62,62,2100,0,24,24,0,361.74,361.74,0,11,57.2,30.78,165.49,48.94,26.92,-3.09,238.26,90,10,0.72,2.43,1.43,1.18,0.15,0,30,44807.14,3241.9,7.8,8.51,421.1,251.25,99.72,11.95,0,0.93,25.79,11950,1,34,58.67,115,16,190,305,2.8,1.6,1.3,0.2,7,11,3.9,62.83,176,0,21,19,16,35,20,537.58,456.85,420.63,425.29,1.18,-3.89,-242.2,588,,,594.22,7.5,26.65,13.56,40.21,17.9,10.21,28.42,195.43,173,216,297.24,287,319,297.83,287,327,299.21,261,322,2.5,1.9,3.5,1.46,1.2,2,1.18,1,1.8,0.15,0,0.2,890.54,884.94,897.43,9.65,7.64,11.78,62.79,64.27,33.62,332.03,1.31,1.14,1.12,1.13,20.43,179.04,281.21,376.99,3,3.1,3.9,4,4,4,1.86,2190.86,3368.95,0,0.48
42739,52.1,8.32,1.04,0.9,2.28,588,570.93,1,42140.85,10.4,887.1,890.85,1730.66,306.3,6750,712,529.33,475.11,25636,250,11.31,37.11,898.69,870.27,889.9,879.17,,896.14,901.16,900.62,887.18,825.08,5.84,10,28.27,533.28,538.3,21.27,4.13,53.07,53,3,0.62,0.3,0.1,1.03,59,133,0,1,11,6.83,0,2,2,2,53.33,52,48.56,23,45,47,2.3,0.5,0.25,470.1,315.1,306.93,0,10.66,10.55,9.06,3.16,7.75,128,146,36,6,6.8,10.2,9.4,10.2,8.6,8,7.8,5.6,6.2,56,56,82,82,56,56,56,56,56,56,2100,0,24,24,0,546.32,546.32,0,19,39.61,31.1,165.98,49.37,27.1,-2.92,239.53,89.91,10.09,0.75,2.53,1.45,1.22,0.17,0,31,44764.69,3246.11,7.69,8.55,420.46,263.82,99.7,12.7,0,0.97,13.09,0,1,34,60,113,16,198,310,2.8,1.5,1.3,0.2,10,11.33,5.6,62.8,176,0,22,20,17,33,18,539.29,456.47,420.71,424.61,1.84,-13.51,-253.09,588,,,594.12,7.5,24.72,13.87,38.59,19.03,10.82,26.8,195.48,189,200,297.39,293,301,297.79,294,302,299.28,289,306,2.47,1.9,3.1,1.45,1.2,1.6,1.23,1,1.5,0.16,0,0.2,892.16,883.9,900.19,9.64,6.99,11.81,62.21,64.18,34.29,448.52,1.3,1.14,1.13,1.14,21.41,189.34,280.55,380.58,3,3,3.9,4,4,4,11.4,1539.39,2760.64,0,0.48
42740,52.82,8.24,1.09,0.79,2.28,535,488.45,1,41310.63,10.26,900.85,888.48,1699.56,304.21,4916.67,712,514.69,461.95,25560.6,250,9.5,32.93,894.5,878.29,883.6,873.05,,897.1,896.99,895.85,889.28,,5.84,10,26.53,486.64,417.9,28.52,20.46,52.67,39,3,0.64,0.3,0.1,1.32,51,132,0,2,14,6.25,0,2,2,2,52.67,51,0,22,45,47,2.3,0.8,0.25,469.62,312.65,304.7,0,11.76,10.8,8.62,1.76,7.84,128,146,36,6.4,6.8,10.4,9.6,10.4,9,8,7.8,5.8,6.4,56,56,86,86,56,56,56,56,56,56,2100,0,24,24,0,485.18,485.18,0,15,54.27,29.24,163.5,44.91,23.07,-3.73,227.75,91.5,8.5,0.75,2.02,1.3,1.02,0.1,0,35,42722.34,3131.15,7.36,8.13,420.65,209.66,99.75,2.98,0,0.91,32.51,22400,1,33.33,56.67,130,16,193,307,2.3,1.8,1.2,0.1,12,10.67,3,61.17,176,0,25,22,18,32,13,506,455.35,418.95,424.1,1.52,-7.2,-240.19,577.4,,,583.47,5,27.8,11.12,38.92,21.64,14.52,28.44,196.3,180,215,297.3,282,318,298.02,282,317,299.38,290,325,1.95,1.3,2.7,1.29,0.9,1.9,0.99,0.8,1.4,0.11,0,0.2,890.11,881.48,895.82,8.63,6.68,11.68,60.1,62.15,30.92,368.2,1.27,1.14,1.12,1.13,20.07,198.43,272.17,388.11,3,3.1,3.9,4,4,4,11.3,1656.39,2869.02,0,0.45
42741,53.32,8.48,1.05,0.8,2.42,528,595.56,1,41163.48,10.33,904.36,888.54,1693.96,303.73,4666.67,716,513.86,460.87,25937.6,250,9.9,35.8,895.05,881.45,876.51,876,,898.72,893.34,898.73,884.5,,6.96,10,26.27,481.6,424.2,29,20.38,52.71,53,4,0.79,0.3,0.2,4.53,87,130,0,2,18,6.58,0,2,2,2,53.67,52,0,23,46,48,2.3,1.9,0.75,475.8,312.32,304.57,0,10.88,10.76,8.7,2.98,7.73,130,140,36,6.2,7,10.4,9.6,10.8,9.2,8,7.8,5.6,6.8,56,56,84,84,56,56,56,56,56,56,2100,0,24,24,0,887.13,887.13,0,33,65.43,29.42,163.89,44.55,22.85,-3.65,227.64,91.57,8.43,0.77,1.97,1.08,1.02,0.12,0,25,41490.01,3031.76,7.66,8.13,420.93,205.98,99.76,8.96,0,1.13,23.54,0,1,31.67,52.33,115,16,183,285,2.2,1.1,1.2,0.2,14,10,4.2,60.43,176,0,27,21,20,37,9,499.47,455.99,420.81,423.81,1.54,11.86,-248.26,569.17,,,575.38,5,25.15,11.11,36.26,19.87,9.63,29.95,196.31,185,208,297.74,292,301,298.04,293,305,299.17,274,306,1.96,1.5,2.6,1.09,0.9,1.4,1.03,0.8,1.3,0.08,0,0.3,889.74,885.7,893.86,8.81,5.9,15.04,59.96,62.09,31.77,296.48,1.3,1.01,1.02,0.99,38.23,216.02,287.08,345.04,3,3.1,4,4,3.9,4,11.4,1622.55,2783.39,0,0.22
42742,50.63,9.43,1.07,0.9,2.6,556,542.52,1,41911.34,10.34,920.52,888.53,1714.79,307.14,4375,715,530.01,482.6,25485.2,260,11.49,40.12,896.85,876.97,882.9,871.74,,899.85,892.24,899.14,886.15,,6.96,10,27.58,506.24,526.3,29,20.56,52.63,46,3,1.9,0.3,0.3,4.69,74,129,0,2,20,4.5,0,2,2,2,52.33,50.67,0,22,45,52,2.2,8.5,2.5,492.24,316.05,307.23,0,10.79,10.68,8.42,1.8,7.5,128,146,42,8,9.6,8.4,11,7.8,7,7,7,6,7.6,62,62,93,93,62,62,62,62,62,62,2000,0,24,24,0,391.71,391.71,0,13,36.81,28.27,165.51,47.59,25.34,-3.78,234.65,90.82,9.18,0.72,1.77,1.12,1.03,0.13,0,24,43386.91,3135.94,7.76,8.38,420.5,250,99.72,9.26,0,0.98,26.53,12250,4,31.33,51.67,103,16,186,298,1.9,1.2,1.1,0.2,16,8,3.8,60.33,176,0,27,22,21,31,14,523.24,455.74,421.98,425.49,2.29,1.97,-312.99,567.29,,,573.61,5,29.77,12.3,42.07,9.64,4.96,19.54,196.51,193,203,297.67,294,301,297.95,294,302,299.39,292,307,1.84,1.5,2.3,1.17,1,1.4,1.04,0.8,1.5,0.13,0,0.2,890.03,876.79,896.07,10.18,6.46,16.64,60.52,64.03,30.2,378.98,1.32,0.85,0.76,0.76,76.67,240.2,252.81,334.57,3,3.1,4,4,4,4,11.6,1587.09,2765.18,0,0.52
42743,52.9,8.38,1.04,0.8,2.34,567,542.76,1,42132.87,10.23,918.61,887.07,1692.07,307.6,5299.03,731,532.42,478.26,25485.2,250,10.8,34.7,897.36,877.86,879.21,871.14,,894.55,890.64,898.74,887.59,,6.96,13.18,28.24,519.1,513,15.15,20.5,52.27,36,2,0.78,0.3,0.3,5.61,62,128,0,3,25,7.58,0,2,2,2,52,47.67,0,22,43,46,2.3,0.4,0.25,488.23,316.13,307.87,0,11,10.6,9.15,2.78,7.54,135,140,25,8.2,9.6,9,10.6,7.4,6.6,7,7.2,7.4,8,56,56,84,84,56,56,56,56,56,56,2100,7.33,16.63,23.97,0,0,0,0,0,38.76,28.23,164.34,46.96,25.15,-3.44,233.02,90.68,9.32,0.69,1.9,1.27,1.08,0.2,0,32,45203.21,3270.4,7.67,8.32,421.26,254.17,99.71,8.22,0,0.96,18.32,0,4,31.33,55.33,101,16,190,313,2.1,1.3,1.3,0.2,18,10.42,4.9,61.33,174,0,26,21,20,34,14,531.04,456.41,419.04,425.85,2.36,-6.1,-269.69,567.35,,,573.75,5,32.56,12.15,44.7,7.92,3.34,15.94,196.53,185,207,297.58,293,301,298.01,294,302,299.38,292,306,1.82,1.4,2.3,1.24,1.1,1.5,1.05,0.8,1.3,0.17,0.1,0.2,888.56,873.27,900.16,9.62,6.06,22.52,60.55,64.62,31.04,375.08,1.32,1.12,0.86,0.89,94.1,246.67,221.25,349.71,3,3.1,4,4,4,4,11.6,1561.81,2675.65,0,0.42
42744,51.62,9.55,1.04,1.03,2.92,578,525.67,1,42150.1,10.11,919.45,887.98,1689.66,309.28,5333.33,721,537.75,468.77,25937.6,250,9.79,29.1,893.98,875.55,886.13,872.27,,894.78,897.22,895.91,884.33,,7.31,10,28.53,525.95,492.9,12.97,20.18,52.27,28,2,0.65,1.2,0.2,0.85,50,209,0,3,28,6.33,0,2,2,2,52.67,51,0,21,43,46,2.3,0.9,0.25,501.21,317.87,309.14,0,10.89,10.79,7.7,1.9,7.7,136,138,28,5.8,6.2,9.6,9.2,9.2,7.8,7.2,7.4,5.4,5.8,56,56,84,84,56,56,56,56,56,56,2100,0,24,24,677.64,0,677.64,0,22,51.03,31.14,164.77,47.54,24.89,-3.75,233.45,90.94,9.06,0.66,2.25,1.53,1.2,0.18,0,33,45379.43,3317.2,7.88,8.34,421.76,267.79,99.7,12.55,0,0.91,17.57,11800,5,31,59,115,16,190,315,2.9,1.9,1.4,0.2,21,11.08,6.1,60.73,174,0,21,20,17,38,5,539.42,457.37,427.39,427.25,2.25,-3.2,-252.99,568.53,,,575.04,5,22.76,13,35.77,10.83,3.61,21.51,195.58,190,213,296.97,293,311,297.82,292,310,299.3,255,306,2.41,1.5,3.1,1.64,1.1,2.1,1.26,0.9,1.5,0.19,0,0.3,889.35,881.94,899.36,9.21,6.8,13.39,61.19,63.68,33.67,458.83,1.33,1.13,0.73,0.77,88.01,230.49,194.99,341.03,3,3.1,4,4.1,4,4.1,11.4,1478.24,2664.97,0,0.50
42745,50.61,9.6,1.06,0.85,2.94,557,512.85,0.95,41906.51,10.15,924.22,886.74,1647.13,310.53,5728.86,594,528.17,383.13,25711.4,250,11.48,34.89,893.5,874.41,884.39,864.95,,897.73,893.49,898.7,880.66,,7.31,10.1,28.95,507.57,203.1,12.97,20.18,51.83,58,3.5,0.62,0.3,0.1,16.22,87,207,0,3,31,4.5,0,2,2,2,52.67,51.67,0,21,48,80,2.3,0.7,0.25,495.15,318.96,310.31,0,10.94,10.42,8.23,2.3,7.52,124,126,28,6.2,7,10.2,9.6,10.4,9.2,8,7.8,5.6,6.4,62,62,93,93,62,58,62,62,62,62,2100,0,22.87,22.87,0,546.38,546.38,0,19,16.47,31.91,166.3,50.72,29,-2.98,243.05,89.29,10.71,0.68,2.67,1.65,1.22,0.22,0,39,43065.06,3153.5,8.3,8.68,421.08,295.25,99.69,7.11,0,0.92,43.71,33260,8,30.67,58.33,120,15,195,312,3.8,2.1,1.6,0.3,22,11.17,2.5,61.53,173,0,22,20,17,0,0,526.64,457.53,429.26,426.45,0.26,-0.57,-241.53,570.07,,,576.69,5,22.81,12.64,35.45,14.68,4.94,23.71,176.01,-20,209,266.95,-20,307,270.65,-20,303,291.5,-15,358,2.94,0.2,61.5,2.23,0,61,1.66,0,60.2,0.26,0,5.5,881.04,679.06,899.48,14.07,6.13,115.1,59.99,63.09,52.13,3625.47,1.28,1.08,0.68,0.77,53.55,264.96,151.82,324.82,3,3.1,3.9,4.1,4,4.1,11.4,1673.92,2972.86,0,0.34
